slug;type;path;promotion;triche;dependency;rule;correction;corr_script
wolf3d;directory;MUL_2013_wolf3d;2018;true;;;;
minitalkEd;directory;PSU_2017_minitalk;2017;true;minitalk3s, dummy;;;
w4web320p1;directory;Appcelerator_Titanium_Projet_1;;;;;;
raytracer;directory;MUL_2013_rtracer;2018;true;;;;
BSQ;directory;CPE-2013-BSQ;2018;true;;;;
ReCJour01PM;directory;Piscine-rattrapage-Jour_01PM;;;;;;
w2web060p1;directory;Piscine_PHP_2_Jour_01;;;;;;
Cjour13;directory;Piscine-C-Jour_13;;;Clib, Cinclude;13;true;
pepito;directory;pepito;;;;;;
w1web090p1;directory;Projet_Web_my_weblog;;;;;;
w1web090p2;directory;Projet_Web_tweet_academie;;;;;;
lem_in;directory;lem_in;;;;;;
babel;directory;babel;2016;true;;;;
ACCsurvey;directory;ACCsurvey;;;;;;
nmobjdump;directory;PSU_2013_nmobjdump;2017;true;;;;
ReCJour01AM;directory;Piscine-rattrapage-Jour_01AM;;;;;;
103architecte;directory;103architecte;2018;true;;;;
Ccolle1;directory;Piscine-C-colles-Semaine_01;;;;Colle_1;true;colle1.sh
Lemin;directory;prog_elem;2018;true;lem_in, dummy;;;
piscinePHPjour08;directory;Piscine_PHP_Jour_08;;;;;;
bomberman;directory;cpp_bomberman;2017;true;;;;
SC3PM;directory;SummerCamp_03PM;;;;sc3pm;true;corr.sh sc3pm
piscinePHPjour07;directory;Piscine_PHP_Jour_07;;;;;;
piscinePHPjour04;directory;Piscine_PHP_Jour_04;;;;;;
piscinePHPjour05;directory;Piscine_PHP_Jour_05;;;;;;
piscinePHPjour02;directory;Piscine_PHP_Jour_02;;;;;;
piscinePHPjour03;directory;Piscine_PHP_Jour_03;;;;;;
piscinePHPjour01;directory;Piscine_PHP_Jour_01;;;;;;
SC4AM;directory;SummerCamp_04AM;;;;sc4am;true;corr.sh sc4am
Warcore;directory;Warcore;;;;;;
Aeroport;directory;Aeroport;;;;;;
zappy;directory;PSU_2013_zappy;2017;true;;;;
w2web150p2;directory;PHP_Avance_Akelos;;;;;;
getnextline;directory;CPE_2013_getnextline;2018;true;;;;
303make;directory;303make_2016;2016;true;;;;
asmminilibc;directory;asm_minilibc;2017;true;;;;
w2web150p3;directory;PHP_Avance_Portfolio;;;;;;
ReCJour04AM;directory;Piscine-rattrapage-Jour_04AM;;;;;;
308pipeaux;directory;308pipeaux;2016;true;;;;
evalexpr;directory;Piscine-C-eval_expr;;;Clib, Cinclude;eval_expr;true;eval_expr.sh
208chevillettes;directory;208chevillettes;2017;true;;;;
101pong;directory;101pong;2018;true;;;;
w2web060p12;directory;Piscine_PHP_2_Jour_10;;;;;;
w2web130p5;directory;JavaScript_Avance_Datavisualisation;;;;;;
ACCcut;directory;ACCcut;;;;;;
Cjour05;directory;Piscine-C-Jour_05;;;;5;true;
B4Bilan;directory;B4Bilan;;;;;;
Battleship;directory;Battleship;;;;;;
w2web130p4;directory;JavaScript_Avance_Angular_JS;;;;;;
42sh;directory;PSU_2013_42sh;2018;true;;;;
myselectEd;directory;PSU_2017_my_select;2017;true;myselect3s, dummy;;;
b4vapsu;directory;PSU_VA_2013;2017;true;;;;
209sondage;directory;209sondage;2017;true;;;;
w1web084p3;directory;PHP_my_meetic;;;;;;
ReCJour03PM;directory;Piscine-rattrapage-Jour_03PM;;;;;;
w1web084p2;directory;PHP_my_cinema;;;;;;
myselect3s;directory;PSU_2016_my_select;2016;;;;;
B4Bioportrait;directory;B4Bioportrait;;;;;;
abstractVM;directory;cpp_abstractvm;2017;true;;;;
CPPD09;directory;piscine_cpp_d09;2017;true;;;;
CorewarED;directory;CPE_2013_ed_corewar;2017;true;;;;
w4web350p2;directory;PHP_Avance_III_my_webdesktop;;;;;;
malloc;directory;PSU_2013_malloc;2017;true;;;;
piscinePHPrush2;directory;Piscine_PHP_Rush_2;;;;;;
CPPD01;directory;piscine_cpp_d01;2017;true;;;;
CPPD03;directory;piscine_cpp_d03;2017;true;;;;
102chiffrement;directory;102chiffrement;2018;true;;;;
CPPD06;directory;piscine_cpp_d06;2017;true;;;;
myprintf;directory;PSU_2013_my_printf;2018;true;;;;
w2web060p15;directory;Piscine_PHP_2_Rush_3;;;;;;
w2web060p10;directory;Piscine_PHP_2_Rush_2;;;;;;
w2web060p11;directory;Piscine_PHP_2_Jour_09;;;;;;
VAee;directory;VAee;;;;;;
w2web060p13;directory;Piscine_PHP_2_Jour_11;;;;;;
w3web250p4;directory;PHP_avance_II_My_Presta;;;;;;
myftp;directory;PSU_2013_myftp;2017;true;;;;
ACCTime;directory;ACCTime;;;;;;
Conte;directory;Conte;;;;;;
w3web250p2;directory;PHP_avance_II_My_Blog-Creator;;;;;;
SC3AM;directory;SummerCamp_03AM;;;;sc3am;true;corr.sh sc3am
myscript;directory;PSU_2013_myscript;2017;true;;;;
ReCJour02AM;directory;Piscine-rattrapage-Jour_02AM;;;;;;
VAeeB4;directory;VAeeB4;;;;;;
